Datetime,Pairing,Home,Draw,Away,League,Ratings Diff,Home Goals Est,Away Goals Est,OU Est,1X2 Est,Goal Diff Est,Total Goals Est,Goal Diff
2023-11-21 03:58:00,Malawi - Tunisia,6.0,3.6,1.6,WCQ,-327.83,0.81,1.62,U,2,2X/12,2.39,-0.81
2023-11-21 03:58:00,Botswana - Guinea,3.8,3.1,2.05,WCQ,-144.79,0.9,1.09,U,1,2X,1.97,-0.19
2023-11-21 03:58:00,Myanmar - Korea DPR,13.5,7.0,1.17,WCQ,-385.35,0.44,2.59,O,2,2X/12,2.99,-2.15
2023-11-21 03:58:00,Niger - Zambia,5.75,3.9,1.57,WCQ,-282.29,0.97,1.51,U,2,2X,2.54,-0.54
2023-11-21 08:30:00,Inter Kashi FC - Mohammedan SC,3.25,3.7,1.83,IN2,-156.17,1.41,1.95,O,2,2X,3.25,-0.54
2023-11-21 09:00:00,Pakistan - Tajikistan,7.5,5.0,1.37,WCQ,-416.51,0.92,1.89,O,2,2X/12,2.86,-0.97
2023-11-21 10:00:00,Japan (U19) - Romania U19,1.83,3.3,3.75,FR,-37.56,1.35,1.04,U,1,1X,2.32,0.31
2023-11-21 10:00:00,Ivory Coast (U23) - Iraq U23,1.68,3.6,4.2,FR,-71.67,2.04,1.03,U,1,1X/12,3.01,1.01
2023-11-21 10:00:00,Slovakia U19 - Ukraine U19,2.2,3.3,2.75,EYQ,75.08,1.24,1.22,O,1,1X,2.33,0.02
2023-11-21 11:00:00,Moldova U19 - Cyprus U19,3.9,3.4,1.75,EYQ,27.01,1.02,1.24,O,X,2X,2.14,-0.22
2023-11-21 11:00:00,Georgia U19 - Spain U19,16.5,9.0,1.09,EYQ,-438.82,0.32,2.75,O,2,2X/12,3.09,-2.43
2023-11-21 11:00:00,Chinese Taipei - Malaysia,7.5,4.8,1.37,WCQ,-395.12,0.83,1.67,O,2,2X/12,2.58,-0.84
2023-11-21 11:00:00,Philippines - Indonesia,4.5,3.7,1.73,WCQ,-280.01,0.83,1.51,U,2,2X/12,2.14,-0.68
2023-11-21 11:30:00,Croatia U19 - Israel U19,2.0,3.4,3.0,EYQ,60.91,1.86,1.04,O,1,1X/12,2.85,0.82
2023-11-21 11:30:00,Färöer U19 - Armenia U19,3.7,3.4,1.8,EYQ,-62.59,1.12,1.57,O,X,2X,2.58,-0.45
2023-11-21 11:45:00,Bangladesh - Lebanon,8.25,4.6,1.37,WCQ,-346.05,0.69,1.84,O,2,2X/12,2.39,-1.15
2023-11-21 12:00:00,Kosovo U21 - Israel U21,2.75,3.2,2.37,EUQ,-152.77,1.21,1.03,U,1,1X,2.1,0.18
2023-11-21 12:00:00,Singapore - Thailand,9.75,5.5,1.28,WCQ,-337.19,0.52,1.84,U,2,2X/12,2.4,-1.32
2023-11-21 12:00:00,China - South Korea,11.5,6.5,1.22,WCQ,-402.07,0.58,2.58,U,2,2X/12,2.92,-2.0
2023-11-21 12:00:00,Vietnam - Iraq,4.6,3.6,1.72,WCQ,-237.62,0.77,1.64,U,2,2X/12,2.29,-0.87
2023-11-21 12:00:00,Hong Kong - Turkmenistan,2.4,3.3,2.8,WCQ,-80.65,1.32,1.29,U,2,1X,2.56,0.03
2023-11-21 12:30:00,Andorra (U19) - Bulgaria U19,8.75,6.25,1.21,EYQ,-144.58,1.08,2.53,O,X,2X/12,3.53,-1.45
2023-11-21 12:30:00,Scotland U19 - Serbia U19,3.1,3.0,2.1,EYQ,-62.31,0.67,1.17,U,2,2X,1.73,-0.5
2023-11-21 13:00:00,Albania U19 - Slovenia U19,6.0,4.33,1.4,EYQ,-186.97,0.74,2.0,U,2,2X/12,2.78,-1.26
2023-11-21 13:00:00,Saudi Arabia U23 - Australia U23,3.2,3.2,2.05,FR,8.56,1.05,1.17,U,X,2X,2.14,-0.12
2023-11-21 13:00:00,Uzbekistan - Iran,3.6,3.0,2.15,WCQ,-192.17,0.75,1.1,U,2,2X,1.74,-0.35
2023-11-21 13:00:00,Eswatini - Cape Verde,5.5,3.5,1.65,WCQ,-268.61,0.86,1.34,U,2,2X,2.07,-0.48
2023-11-21 13:00:00,Rwanda - South Africa,3.3,3.1,2.2,WCQ,-97.25,1.11,1.26,U,1,2X,2.33,-0.15
2023-11-21 13:00:00,Lesotho - Benin,4.5,3.3,1.83,WCQ,-191.33,0.73,1.2,U,2,2X,1.92,-0.47
2023-11-21 13:00:00,Somalia - Uganda,10.5,4.75,1.32,WCQ,-427.61,0.55,2.13,U,2,2X/12,2.55,-1.58
2023-11-21 13:00:00,Italy U20 - Portugal U20,2.5,3.0,2.55,FR,11.16,1.1,1.12,U,X,2X,2.13,-0.02
2023-11-21 13:15:00,Nepal - Yemen,4.75,3.3,1.78,WCQ,-229.8,0.71,1.31,U,X,2X,1.89,-0.6
2023-11-21 13:30:00,Malta U19 - Kosovo U19,5.5,4.33,1.42,EYQ,-258.06,1.05,1.45,O,2,2X,2.45,-0.4
2023-11-21 13:30:00,India - Qatar,6.0,4.4,1.49,WCQ,-278.96,1.05,1.67,U,2,2X,2.66,-0.62
2023-11-21 13:30:00,Aizawl FC - Namdhari Sports Academy,2.3,3.5,2.5,IN2,24.48,1.66,1.29,O,X,1X,2.83,0.37
2023-11-21 14:00:00,Morocco U23 - USA U23,2.8,3.3,2.15,FR,-40.96,1.49,1.33,O,1,1X,2.8,0.16
2023-11-21 14:00:00,Palestine - Australia,29.0,10.5,1.07,WCQ,-504.41,0.52,2.99,O,2,2X/12,3.32,-2.47
2023-11-21 14:00:00,Denmark U19 - France U19,3.8,3.8,1.68,EYQ,-111.74,1.3,1.72,O,2,2X,2.95,-0.42
2023-11-21 14:00:00,Kyrgyzstan - Oman,3.0,3.25,2.3,WCQ,-169.38,0.97,1.19,U,X,2X,2.11,-0.22
2023-11-21 14:00:00,Estonia U19 - Iceland U19,9.5,5.5,1.22,EYQ,-217.45,0.64,2.63,O,2,2X/12,3.25,-1.99
2023-11-21 14:00:00,Montenegro U21 - Albania U21,2.15,3.4,3.0,EUQ,-11.09,1.46,0.98,U,1,1X,2.42,0.48
2023-11-21 14:45:00,Syria - Japan,26.0,10.5,1.08,WCQ,-546.68,0.51,2.38,O,2,2X/12,2.75,-1.87
2023-11-21 15:45:00,Bahrain - United Arab Emirates,2.5,3.1,2.85,WCQ,-25.01,1.24,1.17,U,1,1X,2.27,0.07
2023-11-21 16:00:00,Libya - Cameroon,5.5,3.7,1.61,WCQ,-253.78,0.89,1.31,U,2,2X,2.13,-0.42
2023-11-21 16:00:00,Finland U21 - Armenia U21,1.28,5.25,8.75,EUQ,260.96,2.26,0.94,U,1,1X/12,3.19,1.32
2023-11-21 16:00:00,South Sudan - Mauritania,4.1,3.5,1.85,WCQ,-194.2,0.79,1.36,O,2,2X,2.15,-0.57
2023-11-21 16:00:00,Mauritius - Angola,5.75,3.9,1.57,WCQ,-324.38,0.97,1.51,O,2,2X,2.54,-0.54
2023-11-21 16:00:00,Sao Tome and Principe - Namibia,10.5,5.5,1.27,WCQ,-375.22,0.52,2.15,O,2,2X/12,2.68,-1.63
2023-11-21 16:00:00,Comoros - Ghana,4.8,3.4,1.75,WCQ,-295.54,0.59,1.41,U,2,2X/12,1.83,-0.82
2023-11-21 16:00:00,Jordan - Saudi Arabia,3.6,3.3,2.0,WCQ,-58.81,0.99,1.21,U,2,2X,2.2,-0.22
2023-11-21 16:00:00,Qatar U23 - Jordan U23,2.1,3.2,3.0,FR,-4.6,1.13,0.89,U,1,1X,1.92,0.24
2023-11-21 16:00:00,Togo - Senegal,6.5,4.0,1.5,WCQ,-281.07,0.97,1.74,O,2,2X/12,2.49,-0.77
2023-11-21 16:00:00,Bulgaria U21 - Estonia U21,1.19,6.25,11.5,EUQ,336.17,2.84,0.61,O,1,1X/12,3.31,2.23
2023-11-21 16:00:00,Moldova U21 - Gibraltar U21,1.06,11.5,26.0,EUQ,439.52,3.43,0.62,O,1,1X/12,3.97,2.81
2023-11-21 16:45:00,Turkey U21 - Norway U21,2.55,3.4,2.45,EUQ,-93.74,1.32,1.18,U,1,1X,2.39,0.14
2023-11-21 17:00:00,Luxembourg U19 - Azerbaijan U19,2.15,3.5,2.65,EYQ,75.58,1.64,1.4,O,1,1X,2.97,0.24
2023-11-21 17:00:00,Bosnia-Herzegovina U19 - Netherlands U19,7.25,5.0,1.29,EYQ,-267.65,0.72,2.26,U,2,2X/12,3.0,-1.54
2023-11-21 17:00:00,Sweden U19 - Italy U19,4.2,4.1,1.55,EYQ,-250.01,1.07,1.79,O,2,2X/12,2.82,-0.72
2023-11-21 17:00:00,Germany U21 - Poland U21,1.31,5.25,7.5,EUQ,211.5,2.14,1.03,O,1,1X/12,3.05,1.11
2023-11-21 17:00:00,Mexico (U19) - England U19,4.75,3.8,1.57,FR,-121.15,0.81,2.04,O,2,2X/12,2.7,-1.23
2023-11-21 17:00:00,Afghanistan - Kuwait,34.0,15.5,1.03,WCQ,-564.89,0.58,3.83,O,2,2X/12,4.54,-3.25
2023-11-21 17:00:00,Austria U21 - North Macedonia U21,1.2,6.25,11.0,FR,290.5,2.8,0.58,O,1,1X/12,3.16,2.22
2023-11-21 17:30:00,Ireland U21 - Italy U21,3.5,3.4,1.9,EUQ,-159.66,0.89,1.7,U,2,2X/12,2.49,-0.81
2023-11-21 17:30:00,Switzerland U21 - Romania U21,1.71,3.7,4.1,EUQ,115.24,1.34,1.04,U,1,1X,2.46,0.3
2023-11-21 18:00:00,Ukraine U21 - Azerbaijan U21,1.15,7.25,14.0,EUQ,379.47,2.84,0.48,O,1,1X/12,3.16,2.36
2023-11-21 18:00:00,Serbia U21 - Luxembourg U21,1.16,7.0,13.5,EUQ,345.93,2.54,0.43,O,1,1X/12,3.01,2.11
2023-11-21 19:00:00,Tanzania - Morocco,7.25,3.9,1.49,WCQ,-340.13,0.83,1.44,U,2,2X,2.15,-0.61
2023-11-21 19:00:00,Ethiopia - Burkina Faso,5.5,3.7,1.62,WCQ,-213.52,0.83,1.3,U,2,2X,2.09,-0.47
2023-11-21 19:00:00,French Guiana - Bermuda,1.82,3.25,3.75,CCCN,111.89,1.51,0.89,U,1,1X,2.31,0.62
2023-11-21 19:00:00,Northern Ireland U19 - Portugal U19,7.25,4.33,1.34,FR,-387.27,0.71,1.67,O,2,2X/12,2.31,-0.96
2023-11-21 19:00:00,Belgium U21 - Spain U21,3.3,3.5,1.95,EUQ,-156.21,1.15,1.78,O,2,2X,2.97,-0.63
2023-11-21 19:00:00,St. Vincent and the Grenadines - Belize,2.7,3.2,2.25,CCCN,-120.51,1.04,0.86,O,X,1X,1.87,0.18
2023-11-21 19:00:00,Hungary U21 - Scotland U21,2.15,3.4,2.95,EUQ,-32.84,1.39,1.0,U,1,1X,2.33,0.39
2023-11-21 19:45:00,Andorra - Israel,9.25,4.75,1.37,ECQ,-368.04,0.73,1.79,O,2,2X/12,2.4,-1.06
2023-11-21 19:45:00,Leyton Orient - Lincoln City,1.93,3.4,3.8,UK3,40.61,1.34,0.91,U,X,1X,2.13,0.43
2023-11-21 19:45:00,Ebbsfleet United - Maidenhead United,2.15,3.4,2.75,UK5,-10.59,1.59,1.44,O,2,1X,2.97,0.15
2023-11-21 19:45:00,Bromley FC - Aldershot Town,1.85,3.5,3.4,UK5,24.03,1.69,1.5,O,1,1X,3.06,0.19
2023-11-21 19:45:00,Rochdale AFC - Altrincham FC,2.1,3.5,2.75,UK5,13.19,1.74,1.67,O,1,1X,3.32,0.07
2023-11-21 19:45:00,Eastleigh FC - Boreham Wood FC,2.35,3.3,2.5,UK5,-31.06,1.32,1.27,O,2,1X,2.57,0.05
2023-11-21 19:45:00,Kidderminster Harriers - Hartlepool United FC,2.6,3.3,2.3,UK5,-61.39,1.22,1.01,O,1,1X,2.13,0.21
2023-11-21 19:45:00,Solihull Moors FC - Gateshead FC,3.4,3.5,1.83,UK5,-160.66,1.48,1.64,O,X,2X,3.01,-0.16
2023-11-21 19:45:00,Woking FC - Chesterfield FC,4.33,3.9,1.6,UK5,-193.39,1.02,1.94,O,2,2X/12,3.02,-0.92
2023-11-21 19:45:00,York City - Oxford City,1.66,3.7,4.1,UK5,90.94,1.51,1.15,O,1,1X,2.65,0.36
2023-11-21 19:45:00,Halifax Town - AFC Fylde,1.93,3.3,3.25,UK5,14.58,1.28,1.19,U,1,1X,2.35,0.09
2023-11-21 19:45:00,Poland - Latvia,1.25,6.0,10.5,FR,341.94,1.8,0.67,U,1,1X/12,2.47,1.13
2023-11-21 19:45:00,Austria - Germany,3.9,4.0,1.77,FR,-165.8,1.19,1.69,O,2,2X,2.66,-0.5
2023-11-21 19:45:00,England U21 - Northern Ireland U21,1.07,12.0,23.0,EUQ,472.97,3.59,0.45,O,1,1X/12,4.0,3.14
2023-11-21 19:45:00,Romania - Switzerland,3.6,3.5,2.0,ECQ,-198.42,0.85,1.18,O,2,2X,1.94,-0.33
2023-11-21 19:45:00,Greece - France,5.5,4.0,1.6,ECQ,-280.76,0.85,1.68,O,2,2X/12,2.56,-0.83
2023-11-21 19:45:00,Croatia - Armenia,1.17,7.75,16.0,ECQ,425.36,3.07,0.53,O,1,1X/12,3.48,2.54
2023-11-21 19:45:00,Kosovo - Belarus,1.66,3.75,5.25,ECQ,121.82,1.39,0.84,O,X,1X,2.16,0.55
2023-11-21 19:45:00,Ireland - New Zealand,1.55,3.9,6.0,FR,85.27,1.52,0.54,O,1,1X/12,2.11,0.98
2023-11-21 21:00:00,Wales - Turkey,2.2,3.5,3.1,ECQ,-22.95,1.51,1.0,U,1,1X,2.54,0.51
2023-11-21 23:00:00,Paraguay - Colombia,3.3,3.0,2.25,WCQ,-193.19,0.82,1.14,U,2,2X,1.94,-0.32
2023-11-21 23:00:00,Bonaire - Saint Martin,4.75,4.0,1.52,CCCN,-262.49,0.83,1.88,O,2,2X/12,2.63,-1.05
2023-11-21 23:30:00,Ecuador - Chile,1.55,3.75,6.5,WCQ,98.34,1.59,0.71,O,1,1X/12,2.25,0.88
2023-11-22 00:00:00,Puerto Rico - Bahamas,1.04,13.5,26.0,CCCN,558.12,3.13,0.79,O,1,1X/12,4.03,2.34
2023-11-22 00:00:00,Guyana - Antigua & Barbuda,1.61,3.9,4.2,CCCN,98.53,1.95,0.88,O,1,1X/12,2.72,1.07
2023-11-22 00:30:00,Brazil - Argentina,2.45,3.0,3.0,WCQ,8.54,0.91,1.16,U,2,2X,2.0,-0.25
2023-11-22 00:30:00,Canada - Jamaica,1.46,3.9,5.75,CCCN,124.12,1.66,0.91,U,1,1X/12,2.5,0.75
2023-11-22 02:00:00,Sporting San Jose - CS Cartagines,2.6,3.1,2.4,CR1,-89.27,0.88,1.25,U,2,2X,2.04,-0.37
2023-11-22 02:00:00,Nicaragua - Dominican Republic,1.82,3.4,3.6,CCCN,70.41,1.39,0.59,O,1,1X/12,1.91,0.8
2023-11-22 02:00:00,Peru - Venezuela,2.3,3.0,3.2,WCQ,-56.01,1.07,0.79,O,1,1X,1.74,0.28
2023-11-22 02:30:00,Mexico - Honduras,1.16,6.5,13.0,CCCN,326.6,2.37,0.4,O,1,1X/12,2.72,1.97
2023-11-22 03:58:00,Uruguay - Bolivia,1.09,11.0,26.0,WCQ,333.18,3.31,0.67,O,1,1X/12,3.79,2.64
2023-11-22 13:00:00,AE Giouchtas - Atromitos Athinon,4.5,3.4,1.68,GRCUP,-259.2,0.86,1.47,O,2,2X,2.31,-0.61
2023-11-22 13:00:00,Levadiakos - Lamia FC,3.0,3.0,2.2,GRCUP,-78.2,0.9,1.24,U,X,2X,2.08,-0.34
2023-11-22 13:30:00,Churchill Brothers - TRAU FC,1.44,4.2,5.25,IN2,223.17,2.17,1.05,O,1,1X/12,3.09,1.12
2023-11-22 15:00:00,Atletico Sanluqueno - Cordoba CF,2.55,2.95,2.55,ES3G2,-90.3,0.96,0.98,U,X,2X,1.84,-0.02
2023-11-22 17:45:00,Brann Bergen (W) - SK Slavia Praha (W),1.3,5.25,8.0,WCLCUP,217.47,2.29,0.84,O,X,1X/12,3.18,1.45
2023-11-22 20:00:00,Eintracht Frankfurt (W) - FC Barcelona (W),16.5,8.5,1.13,WCLCUP,-435.41,0.35,2.58,O,2,2X/12,2.9,-2.23
2023-11-22 20:00:00,Benfica (W) - FC Rosengard (W),1.68,4.0,4.2,WCLCUP,-38.41,1.89,0.79,U,1,1X/12,2.59,1.1
2023-11-22 20:00:00,Barnet FC - Oldham Athletic,1.78,3.6,3.5,UK5,81.75,1.95,1.09,O,2,1X/12,2.95,0.86
2023-11-22 20:00:00,Zamora CF - Villarreal CF,9.0,5.75,1.31,ESCUP,-419.77,0.88,2.38,O,2,2X/12,3.09,-1.5
2023-11-22 21:00:00,Real San Luis - Leon,2.6,3.4,2.55,MX1,-114.68,1.18,1.23,U,X,2X,2.41,-0.05
2023-11-22 21:00:00,AD Guanacasteca - Municipal Liberia,1.8,3.4,3.7,CR1,58.15,1.35,1.07,O,1,1X,2.35,0.28
2023-11-22 21:00:00,Santos Laguna - Mazatlan FC,1.61,3.9,5.25,MX1,122.06,1.79,1.08,O,1,1X/12,2.72,0.71
2023-12-01 19:45:00,York City - Wigan Athletic,6.5,5.0,1.42,UKFACUP,-273.54,0.88,2.22,O,2,2X/12,3.01,-1.34
2023-12-02 03:58:00,Newport County AFC - Barnet FC,2.05,3.5,3.0,UKFACUP,-40.84,1.5,1.4,U,X,1X,2.87,0.1
2023-12-03 03:58:00,Chesterfield FC - Leyton Orient,2.6,3.5,2.6,UKFACUP,21.24,1.63,1.5,O,2,1X,2.93,0.13
2023-12-03 19:45:00,Eastleigh FC - Reading FC,3.75,3.8,1.88,UKFACUP,-171.5,1.16,1.64,U,2,2X,2.65,-0.48
